Page,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Axis Bank Current Account Page,5.75,14:52:52,null,PASS,null,,
Axis Bank Corporate Page,6.92,14:53:0,null,PASS,null,,
Axis Bank Fixed Deposit Page,2.27,14:53:4,null,PASS,null,,
Axis Bank MCLR Interest Rate Page,1.98,14:53:8,null,PASS,null,,
Axis Bank Business Banking Page,5.16,14:53:14,null,PASS,null,,
Axis Bank About Us Page,1.75,14:53:17,null,PASS,null,,
Axis Bank Shareholders Information Page,2.05,14:53:21,null,PASS,null,,
Axis Bank Annual Reports Page,1.74,14:53:24,null,PASS,null,,
Axis Bank Contact Us Page,6.82,14:53:32,null,PASS,null,,
Axis Bank Home Loan Page,1.52,14:53:35,null,PASS,null,,
Axis Bank Car Loan Page,2.85,14:53:39,null,PASS,null,,
Axis Bank Debit Card Page,2.15,14:53:42,null,PASS,null,,
Axis Bank Current Account Page,3.60,14:56:42,null,PASS,null,,
Axis Bank Current Account Page,4.75,15:13:2,null,PASS,null,,
