instance_name,application_freq,Desired_Count,Run_Count,success_count,Missed_Additional
"ALERT_L&T_Automated_Whatsapp","5","2880","2750","2726","-154"
"BNK_AXIS_Corp_FMConnect_Off Market","30","280","271","0","-280"
"BNK_Axis_NFC_Account_Statement_Report_Web","15","960","1093","830","-130"
"BNK_Axis_NFC_Add_New_Beneficiary_Single_Checker_Web","90","10","255","95","85"
"BNK_Axis_NFC_Add_New_Beneficiary_Single_Maker_Web","90","10","255","95","85"
"BNK_Axis_NFC_Bulk_Payment_Within_AxisBank_Maker_Web","30","480","1029","355","-125"
"BNK_Axis_NFC_Delete_Beneficiary_Single_Checker_Web","90","10","154","99","89"
"BNK_Axis_NFC_Delete_Beneficiary_Single_Maker_Web","90","10","158","97","87"
"BNK_Axis_NFC_Forgot_Reset_Password_Web","60","240","286","202","-38"
"BNK_Axis_NFC_Get_Your_LoginID_CorporateID_Web","60","240","256","208","-32"
"BNK_Axis_NFC_Login_Dubai_Web","15","960","1068","812","-148"
"BNK_Axis_NFC_Payment_Approval_Web","30","480","716","353","-127"
"BNK_Axis_NFC_PayPro_Single_Beneficiary_Checker_Web","15","960","839","755","-205"
"BNK_Axis_NFC_PayPro_Single_Beneficiary_Maker_Web","15","960","1032","819","-141"
"BNK_Axis_NFC_PayPro_Single_Payment_Checker_Web","15","960","862","751","-209"
"BNK_Axis_NFC_PayPro_Single_Payment_Maker_Web","15","960","1010","828","-132"
"BNK_Axis_NFC_Reject_Request_Checker_Web","120","0","196","91","91"
"BNK_Axis_NFC_Service_Request_Maker_Web","120","0","203","96","96"
"BNK_Axis_NFC_Single_Payment_IMPS_Maker_Web","30","480","536","494","14"
"BNK_Axis_NFC_Single_Payment_NEFT_Maker_Web","15","960","1003","909","-51"
"BNK_Axis_NFC_Smart_Statement_Report_Web","15","960","977","878","-82"
"BNK_Axis_NFC_Transaction_Analysis_Report_Web","15","960","969","880","-80"
"BNK_Axis_NFC_Unlock_Account_Web","60","240","241","232","-8"
"BNK_Axis_OIRM_Dashboard_Checker_Web","15","960","898","800","-160"
"BNK_Axis_OIRM_Dashboard_Maker_Web","15","960","974","872","-88"
"BNK_Axis_TF_BC_Dashboard_Checker_Web","15","960","1009","799","-161"
"BNK_Axis_TF_BC_Dashboard_Maker_Web","15","960","1029","734","-226"
"BNK_Axis_TF_BG_Customer_Dashboard_Checker_Web","15","960","903","503","-457"
"BNK_Axis_TF_BG_Customer_Dashboard_Maker_Web","15","960","832","455","-505"
"BNK_Axis_TF_BG_Inward_Bank_Guarantee_Web","15","960","693","622","-338"
"BNK_Axis_TF_BG_Issuance_Checker_Web","1440","0","15","10","10"
"BNK_Axis_TF_BG_Issuance_Maker_Web","15","960","719","252","-708"
"BNK_AXIS_TF_IDPMS Dashboard Checker","15","960","1040","789","-171"
"BNK_AXIS_TF_IDPMS Dashboard Maker","15","960","1049","708","-252"
"BNK_AXIS_TF_Outward Remittance Checker","15","960","907","593","-367"
"BNK_AXIS_TF_Outward Remittance Maker","15","960","970","583","-377"
"BNK_Axis_TF_Outward_Remittance_Delete_Maker_Web","15","960","905","612","-348"
"BNK_AXIS_TF_Softex & Goods Checker","15","960","892","718","-242"
"BNK_AXIS_TF_Softex & Goods Maker","15","960","894","624","-336"
"BNK_Axis_TF_Vetting_Guarantee_Maker_Web","15","960","635","337","-623"
"BNK_Axis_Urls_15Min_Web","15","960","957","939","-21"
"BNK_Axis_Urls_5min_Web","5","2880","2851","2806","-74"
"BNK_BankOfMaharashtra_Web","15","960","860","857","-103"
"BNK_BOM_ZenLyfe_5Minutes_Android","5","2880","2849","2760","-120"
"BNK_BOM_ZenLyfe_5Minutes_iOS","5","2880","2908","2683","-197"
"BNK_BOM_ZenLyfe_Account_Statement_Android","15","960","966","932","-28"
"BNK_BOM_ZenLyfe_Account_Statement_iOS","15","960","989","923","-37"
"BNK_BOM_ZenLyfe_Bill_Payments_Android","15","960","1184","881","-79"
"BNK_BOM_ZenLyfe_Bill_Payments_iOS","15","960","1254","824","-136"
"BNK_BOM_ZenLyfe_IMPS_FT_Android","15","960","975","918","-42"
"BNK_BOM_ZenLyfe_IMPS_FT_iOS","15","960","1109","905","-55"
"BNK_BOM_ZenLyfe_Loans_Journey_iOS","15","960","1017","908","-52"
"BNK_BOM_ZenLyfe_Login_Android","15","960","1740","1636","676"
"BNK_BOM_ZenLyfe_Login_iOS","15","960","980","933","-27"
"BNK_BOM_ZenLyfe_Manage_Beneficiary_Android","15","960","1340","832","-128"
"BNK_BOM_ZenLyfe_Manage_Beneficiary_iOS","15","960","1256","890","-70"
"BNK_BOM_ZenLyfe_Manage_Debit_Card_Android","15","960","954","0","-960"
"BNK_BOM_ZenLyfe_NEFT_FT_Android","15","960","996","911","-49"
"BNK_BOM_ZenLyfe_NEFT_FT_iOS","15","960","1302","866","-94"
"BNK_BOM_Zenlyfe_Open_FD_Journey_Android","15","960","973","925","-35"
"BNK_BOM_ZenLyfe_Quick_Pay_IFSC_Android","15","960","1298","846","-114"
"BNK_BOM_ZenLyfe_Quick_Pay_IFSC_iOS","15","960","1055","845","-115"
"BNK_BOM_ZenLyfe_Within_Bank_FT_Android","15","960","985","911","-49"
"BNK_BOM_ZenLyfe_Within_Bank_FT_iOS","15","960","1068","808","-152"
"BNK_CUB_Android","15","960","1046","870","-90"
"BNK_CUB_BBPS_Web","15","960","1008","838","-122"
"BNK_CUB_CC_42CS_Web","15","960","1310","715","-245"
"BNK_CUB_CC_CSK_Web","15","960","880","878","-82"
"BNK_CUB_Depend_Web","15","960","881","875","-85"
"BNK_CUB_Fee_Payment_Web","15","960","1025","856","-104"
"BNK_CUB_Kavach_Web","15","960","875","870","-90"
"BNK_CUB_Rewards_Web","15","960","878","861","-99"
"BNK_CUB_Scan&Pay_Android","15","960","957","858","-102"
"BNK_CUB_Web","15","960","923","807","-153"
"BNK_ESAF_Add_Positive_Pay_Services_Web","15","960","938","891","-69"
"BNK_ESAF_ATM_PIN_Generation_Services_Web","15","960","951","941","-19"
"BNK_ESAF_Cheque_Book_Request_Services_Web","15","960","927","895","-65"
"BNK_ESAF_Cheque_Status_Enquiry_Services_Web","15","960","921","903","-57"
"BNK_ESAF_CIB_IMPS_Fund_Transfer_Checker_Web","30","480","418","303","-177"
"BNK_ESAF_CIB_IMPS_Fund_Transfer_Maker_Web","30","480","625","386","-94"
"BNK_ESAF_CIB_NEFT_Fund_Transfer_Checker_Web","30","480","397","301","-179"
"BNK_ESAF_CIB_NEFT_Fund_Transfer_Maker_Web","30","480","591","368","-112"
"BNK_ESAF_CIB_RTGS_Fund_Transfer_Checker_Web","360","0","32","29","29"
"BNK_ESAF_CIB_RTGS_Fund_Transfer_Maker_Web","360","0","96","32","32"
"BNK_ESAF_CIB_Salary_Bulk_Upload_Checker_Web","30","480","309","258","-222"
"BNK_ESAF_CIB_Salary_Bulk_Upload_Maker_Web","30","480","502","297","-183"
"BNK_ESAF_CIB_Vendor_Bulk_Upload_Checker_Web","30","480","302","258","-222"
"BNK_ESAF_CIB_Vendor_Bulk_Upload_Maker_Web","30","480","452","299","-181"
"BNK_ESAF_Debit_Card_Hotlisting_Services_Web","15","960","947","935","-25"
"BNK_ESAF_E_Lock_Debit_Card_Services_Android","15","960","1095","927","-33"
"BNK_ESAF_E-Certificate_Services_Web","15","960","946","929","-31"
"BNK_ESAF_E-Lock_Debit_Card_Services_Web","15","960","960","928","-32"
"BNK_ESAF_E-Statement_Registration_Services_Web","15","960","947","937","-23"
"BNK_ESAF_Form_15_GH_Services_Web","15","960","950","937","-23"
"BNK_ESAF_IMPS_Fund_Transfer_Android","15","960","968","933","-27"
"BNK_ESAF_IMPS_Fund_Transfer_Web","15","960","919","905","-55"
"BNK_ESAF_Mandate_Cancellation_Services_Web","15","960","954","931","-29"
"BNK_ESAF_NEFT_Fund_Transfer_Web","15","960","983","836","-124"
"BNK_ESAF_RTGS_Fund_Transfer_Android","15","960","961","932","-28"
"BNK_ESAF_RTGS_Fund_Transfer_Web","15","960","943","896","-64"
"BNK_ESAF_Stop_Cheque_Services_Web","15","960","922","885","-75"
"BNK_ESAF_UPI_Android","15","960","1053","708","-252"
"BNK_HDFC_WhatsApp_BOT_CARDS_Android","15","960","894","0","-960"
"BNK_HDFC_WhatsApp_BOT_INS&GOV_Android","15","960","937","679","-281"
"BNK_HDFC_WhatsApp_BOT_LOANS_Android","15","960","1057","650","-310"
"BNK_HDFC_WhatsApp_BOT_MIS_Android","15","960","829","0","-960"
"BNK_Indian_Bank_INB_Web","15","960","2891","2635","1675"
"BNK_Indian_Bank_Web","5","2880","2798","2796","-84"
"BNK_IndSMART_Account_Details_Journey_Android","15","960","980","922","-38"
"BNK_IndSMART_DebitCards_Journey_Web","15","960","1027","892","-68"
"BNK_IndSMART_EasiPay_OtherBank_Journey_Web","15","960","987","932","-28"
"BNK_IndSMART_EasiPay_WithinBank_Journey_Web","15","960","937","3","-957"
"BNK_IndSMART_FT_Other_Bank_IMPS_Android","15","960","1166","856","-104"
"BNK_IndSMART_FT_Within_Bank_Android","15","960","925","0","-960"
"BNK_IndSMART_Web_Account_Details_Journey_Web","15","960","991","921","-39"
"BNK_LC_Issuance_Checker_Web","15","960","1006","691","-269"
"BNK_LC_Issuance_Maker_Web","15","960","1002","690","-270"
"BNK_Manage_Beneficiary_Checker_Web","15","960","624","536","-424"
"BNK_Manage_Beneficiary_Delete_Checker_Web","15","960","655","535","-425"
"BNK_Manage_Beneficiary_Delete_Maker_Web","15","960","594","531","-429"
"BNK_Manage_Beneficiary_Maker_Web","15","960","974","536","-424"
"BNK_Puducherry_Grama_Bank_Web","15","960","962","925","-35"
"BNK_PYGB_Android","15","960","1461","916","-44"
"BNK_PYGB_UPI_Android","30","480","782","453","-27"
"BNK_PYGB_Web","15","960","942","939","-21"
"BNK_RTGS_Checker_And_Create_FD_Web","360","0","42","34","34"
"BNK_RTGS_Maker_And_Create_FD_Web","360","0","111","35","35"
"BNK_SBI_Yono_ 2.0_Domestic_NEFT_Fund_Transfer_Web","15","960","982","841","-119"
"BNK_SBI_Yono_ 2.0_Electricity_Bill_Payment_Web","15","960","1001","795","-165"
"BNK_SBI_Yono_ 2.0_Quick_Fund_Transfer_Web","15","960","969","829","-131"
"BNK_SBI_Yono_2.0_Account_Services_Android","15","960","1143","965","5"
"BNK_SBI_Yono_2.0_Account_Services_iOS","15","960","1037","882","-78"
"BNK_SBI_Yono_2.0_Account_Summary_Web","15","960","954","885","-75"
"BNK_SBI_Yono_2.0_Add_Beneficiary_iOS","15","960","26","24","-936"
"BNK_SBI_Yono_2.0_Apply_Loan_Android","15","960","1302","1083","123"
"BNK_SBI_Yono_2.0_Apply_Loan_iOS","15","960","1014","902","-58"
"BNK_SBI_Yono_2.0_Bill_Payment_Postpaid_Android","15","960","1167","1015","55"
"BNK_SBI_Yono_2.0_Bill_Payment_Postpaid_iOS","15","960","1020","884","-76"
"BNK_SBI_Yono_2.0_Card_Services_Android","15","960","1032","898","-62"
"BNK_SBI_Yono_2.0_Card_Services_iOS","15","960","1017","898","-62"
"BNK_SBI_Yono_2.0_Cheque_Services_Android","15","960","1058","653","-307"
"BNK_SBI_Yono_2.0_Cheque_Services_iOS","15","960","1019","684","-276"
"BNK_SBI_Yono_2.0_Cheque_Services_Web","15","960","1037","647","-313"
"BNK_SBI_Yono_2.0_Clear_Tax_Android","15","960","1029","808","-152"
"BNK_SBI_Yono_2.0_Clear_Tax_iOS","15","960","1025","923","-37"
"BNK_SBI_Yono_2.0_Close_FD_Android","15","960","1194","995","35"
"BNK_SBI_Yono_2.0_Close_FD_iOS","15","960","1021","888","-72"
"BNK_SBI_Yono_2.0_Close_FD_Web","15","960","974","883","-77"
"BNK_SBI_Yono_2.0_Close_RD_Android","15","960","1406","1176","216"
"BNK_SBI_Yono_2.0_Close_RD_iOS","15","960","1059","935","-25"
"BNK_SBI_Yono_2.0_Close_RD_Web","15","960","988","905","-55"
"BNK_SBI_Yono_2.0_Delete_Beneficiary_iOS","15","960","26","24","-936"
"BNK_SBI_Yono_2.0_Demat_Account_Android","15","960","1085","858","-102"
"BNK_SBI_Yono_2.0_Demat_Account_iOS","15","960","1050","855","-105"
"BNK_SBI_Yono_2.0_Domestic_IMPS_Fund_Transfer_Android","15","960","1111","851","-109"
"BNK_SBI_Yono_2.0_Domestic_IMPS_Fund_Transfer_iOS","15","960","1035","907","-53"
"BNK_SBI_Yono_2.0_Domestic_IMPS_Fund_Transfer_Web","15","960","988","854","-106"
"BNK_SBI_Yono_2.0_Domestic_NEFT_Fund_Transfer_Android","15","960","1091","854","-106"
"BNK_SBI_Yono_2.0_Domestic_NEFT_Fund_Transfer_iOS","15","960","1077","898","-62"
"BNK_SBI_Yono_2.0_Download_Statement_Android","15","1000","1020","690","-310"
"BNK_SBI_Yono_2.0_Download_Statement_iOS","15","1000","1001","921","-79"
"BNK_SBI_Yono_2.0_E-Secure_Android","15","960","1003","893","-67"
"BNK_SBI_Yono_2.0_E-Secure_iOS","15","960","1026","903","-57"
"BNK_SBI_Yono_2.0_Electricity_Bill_Payment_Android","15","960","1116","886","-74"
"BNK_SBI_Yono_2.0_Electricity_Bill_Payment_iOS","15","960","1046","854","-106"
"BNK_SBI_Yono_2.0_ETBSA_Android","15","960","1101","620","-340"
"BNK_SBI_Yono_2.0_ETBSA_iOS","15","960","1114","638","-322"
"BNK_SBI_Yono_2.0_ETBSA_Web","15","960","990","618","-342"
"BNK_SBI_Yono_2.0_FasTag_Bill_Payment_Web","15","960","1024","840","-120"
"BNK_SBI_Yono_2.0_FastTag_Bill_Payment_Android","15","960","1072","840","-120"
"BNK_SBI_Yono_2.0_FastTag_Bill_Payment_iOS","15","960","1062","860","-100"
"BNK_SBI_Yono_2.0_Feedback_Journey_Android","15","960","1028","920","-40"
"BNK_SBI_Yono_2.0_Feedback_Journey_iOS","15","960","1005","930","-30"
"BNK_SBI_Yono_2.0_Feedback_Web","15","960","969","868","-92"
